Type,Question,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9
multiple choice,How often do you listen to music?,Daily,Several times a week,Once a week,A few times a month,Rarely,,,,
checkboxes,Which music streaming service(s) do you primarily use? (Select all that apply),Spotify,Apple Music,YouTube Music,Amazon Music,Deezer,Tidal,SoundCloud,Other:,I don't use streaming services
multiple choice,How would you rate your satisfaction with music recommendations from your current streaming service?,Very satisfied,Satisfied,Neutral,Dissatisfied,Very dissatisfied,N/A - I don't use recommendations,,,
multiple choice,Have you ever had concerns about privacy related to music streaming services?,"Yes, significant concerns","Yes, some concerns",Neutral / Haven't thought about it,No concerns,,,,,
multiple choice,Were you able to complete this task successfully?,"Yes, easily","Yes, with some difficulty","No, I encountered problems",,,,,,
multiple choice,How long did it take to complete this task?,Less than 30 seconds,30 seconds - 1 minute,1-2 minutes,More than 2 minutes,,,,,
multiple choice,How many of the 5 recommended tracks would you actually want to listen to?,0 tracks,1 track,2 tracks,3 tracks,4 tracks,5 tracks,,,
linear scale,How relevant were the recommendations to the tracks you selected?,1,5,Not relevant at all,Extremely relevant,,,,,
multiple choice,"Did the recommendations include a good variety of tracks, or were they too similar to each other?",Too similar (not enough variety),Good balance of similarity and variety,Too varied (not cohesive enough),,,,,,
multiple choice,Did the recommendations seem to match your stated preferences?,"Yes, clearly",Somewhat,Not noticeably,"No, they seemed to ignore preferences",,,,,
multiple choice,"Compared to recommendations from your usual streaming service, how would you rate NextTrack's recommendations?",Much better,Somewhat better,About the same,Somewhat worse,Much worse,N/A - Can't compare,,,
linear scale,"How much does the ""no tracking"" / privacy aspect of NextTrack appeal to you?",1,5,Not at all appealing,Extremely appealing,,,,,
multiple choice,Would you be willing to trade some recommendation accuracy for better privacy?,"Yes, definitely",Probably yes,Unsure,Probably not,Definitely not,,,,
linear scale,I found the system easy to use,1,5,Strongly Disagree,Strongly Agree,,,,,
linear scale,I would need technical support to use this system,1,5,Strongly Disagree,Strongly Agree,,,,,
linear scale,The interface was intuitive,1,5,Strongly Disagree,Strongly Agree,,,,,
linear scale,I felt confident using the system,1,5,Strongly Disagree,Strongly Agree,,,,,
linear scale,I would use this system regularly,1,5,Strongly Disagree,Strongly Agree,,,,,
multiple choice,How useful did you find the following features? [Track search],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Multiple track selection],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Energy preference slider],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Tempo preference slider],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Confidence scores],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Reasoning explanations],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Audio previews],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
multiple choice,How useful did you find the following features? [Spotify links],Not Useful,Slightly Useful,Moderately Useful,Very Useful,Didn't Notice/Use,,,,
paragraph,What did you like most about NextTrack?,,,,,,,,,
paragraph,What would you improve or add to NextTrack?,,,,,,,,,
paragraph,"Did you encounter any bugs or issues? If so, please describe:",,,,,,,,,
paragraph,Any other comments or suggestions?,,,,,,,,,
multiple choice,What is your age range?,Under 18,18-24,25-34,35-44,45-54,55+,Prefer not to say,,
multiple choice,How would you describe your technical proficiency?,Beginner,Intermediate,Advanced,Expert,,,,,
